Month,Total charged,Membership charges - web,Membership charges - iOS app,Shop charges - web,Shop charges - iOS app,Your total earnings,Processing fee,Patreon fee,iOS App Store fee,Merch items and shipping,Declines,Your earnings - membership(%),Processing fees - membership(%),Patreon fee - membership(%),Your earnings - shop(%),Processing fees - shop(%),Patreon fee - shop(%),Currency conversion fee,Currency conversion fee (%),Currency
2022-01,2916.25,2916.25,0,0,0,2519.28,126.76,231.37,0,0,0,87.13%,4.38%,8.00%,0.00%,0.00%,0.00%,13.84,0.48%,USD
2022-02,5882.64,5882.64,0,0,0,4923.26,236.69,450.19,0,0,51.44,87.51%,4.21%,8.00%,0.00%,0.00%,0.00%,16.06,0.29%,USD
2022-03,7666,7666,0,0,0,6567.95,313.14,600.59,0,0,100,87.50%,4.17%,8.00%,0.00%,0.00%,0.00%,24.32,0.32%,USD
2022-04,9526.75,9526.75,0,0,0,8112.42,378.14,743.51,0,0,190,87.31%,4.07%,8.00%,0.00%,0.00%,0.00%,57.68,0.62%,USD
2022-05,8127.81,8127.81,0,0,0,6812.69,323.11,622.55,0,0,323.04,87.57%,4.15%,8.00%,0.00%,0.00%,0.00%,21.42,0.28%,USD
2022-06,7947.64,7947.64,0,0,0,6629.46,314.91,605.84,0,0,336.02,87.56%,4.16%,8.00%,0.00%,0.00%,0.00%,21.41,0.28%,USD
2022-07,10669.45,10669.45,0,0,0,9263.98,410.42,843.25,0,0,130,87.90%,3.89%,8.00%,0.00%,0.00%,0.00%,21.8,0.21%,USD
2022-08,14342.52,14342.52,0,0,0,12552.63,525.19,1139.56,0,0,75,88.13%,3.69%,8.00%,0.00%,0.00%,0.00%,25.14,0.18%,USD
2022-09,8053.85,8053.85,0,0,0,6793.71,317.21,620.46,0,0,300,87.62%,4.09%,8.00%,0.00%,0.00%,0.00%,22.47,0.29%,USD
2022-10,6625.88,6625.88,0,0,0,5571.95,268.21,509.87,0,0,254.81,87.46%,4.21%,8.00%,0.00%,0.00%,0.00%,21.04,0.33%,USD
2022-11,6080.05,6080.05,0,0,0,5273.87,253.55,482.51,0,0,50.22,87.46%,4.20%,8.00%,0.00%,0.00%,0.00%,19.9,0.33%,USD
2022-12,5798.88,5798.88,0,0,0,4865.43,233.14,445,0,0,237.98,87.49%,4.19%,8.00%,0.00%,0.00%,0.00%,17.33,0.31%,USD
2023-01,5098.11,5098.11,0,0,0,4379.74,210.66,400.75,0,0,90,87.45%,4.21%,8.00%,0.00%,0.00%,0.00%,16.96,0.34%,USD
