
price,b,s,n,t,ratio,__meta__.totalNum,__meta__.totalVolume,__meta__.avePrice,__meta__.buyVolume,__meta__.sellVolume,__meta__.nVolume,__meta__.preClose,__meta__.maxT,__meta__.tradeTimeTs,__meta__.hasNbbo,__meta__.hasReal,__meta__.dealView
2.28,198373,291150,365829,855352,0.2021,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.29,293024,229756,210629,733409,0.1733,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.27,172321,126844,89890,389055,0.0919,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.285,0,305,379451,379756,0.0897,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.26,101223,149043,38609,288875,0.0682,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.3,141812,15255,48344,205411,0.0485,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.275,300,510,188862,189672,0.0448,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.255,0,0,118221,118221,0.0279,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.295,506,0,104991,105497,0.0249,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.294,100,0,88340,88440,0.0209,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.265,0,300,67727,68027,0.0161,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.282,706,0,50095,50801,0.012,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.25,0,39462,6841,46303,0.0109,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.283,2400,0,38094,40494,0.0096,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.284,300,0,38568,38868,0.0092,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.286,0,700,37117,37817,0.0089,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.296,0,0,36508,36508,0.0086,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.297,0,0,34821,34821,0.0082,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.289,1001,303,32344,33648,0.0079,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.276,0,667,30467,31134,0.0074,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.288,1362,0,28617,29979,0.0071,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.305,0,0,30090,30090,0.0071,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.277,0,101,25949,26050,0.0062,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.272,0,2000,24240,26240,0.0062,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.281,201,0,25721,25922,0.0061,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.293,400,0,21295,21695,0.0051,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
2.287,400,0,19304,19704,0.0047,9855,4232987,2.281,927295,859875,2445817,0,855352,1763136397794,False,True,False
