id,title,snippet,type,color,last_cited,cited_in_count,treating_example,total_citations,positive_citations,negative_citations
886879401,"Jack B. Anglin Co., Inc. v. Tipps","does not have a statute comparable to 28 U.S.C. 1292(b), which in effect permits a federal district court to certify that an appeal is appropriate from an interlocutory order addressing a matter of controlling law. 13 This court has, however, deemed orders relating to sealing or unsealing court records to be final, appealable judgments.",document,red,2025-02-20,1069.0,"{'source': {'vid': '893399329', 'title': 'Lee v. Ronald E. Lee Jr., Katherine Lee Stacy, & Legacy Trust Co.'}, 'target': {'vid': 886879401, 'title': 'Jack B. Anglin Co., Inc. v. Tipps'}, 'treating_type': 'Superseded by statute', 'treating_type_desc': 'Recognize Superseded By Statute in'}",1078.0,0.0,1.0
885440026,Davenport v. Garcia,"of speech will end where such control begins. Ex Parte Tucker, 220 S.W. at 76 (emphasis added). We conclude today, as we did over seventy years ago, that the judicially imposed gag orders in question are void. II. The Role of the State Constitution Having found that the trial court's gag orders violate article I, section 8 of the Texas Constitution",document,orange,2024-12-27,206.0,"{'source': {'vid': '892786338', 'title': 'In re Houston Chronicle Pub. Co.'}, 'target': {'vid': 885440026, 'title': 'Davenport v. Garcia'}, 'treating_type': 'Declined to extend', 'treating_type_desc': 'Declined To Extend in'}",211.0,0.0,1.0
887885591,Ex parte Tucci,"remarriage within one year of original divorce was without authority, and therefore void); Warfield, 50 S.W. at 936-37 (indicating that collateral attack is appropriate only if it may at once be  reasons for the collateral bar rule, however, are as compelling as the reasons for theappeals. The temporary restraining orders were issued less than a week before the first",document,,,,,64.0,0.0,0.0
894062831,Security Trust Co. of Austin v. Lipscomb County,"agreements made by the receiver and the counties and directed the receiver to surrender the securities to the counties in full satisfaction of their claims, are: That the orders were void and of no effect as to the counties, because the court was without jurisdiction to authorize the receiver to enter into an agreement Page 155 with the counties to settle or compromise the claims",document,,,,,41.0,0.0,0.0
891403966,Commission for Lawyer Discipline v. Benton,"attempting to define what annoys people). The definitions show that both ""harass"" and ""embarrass"" are based on an individual's subjective feelings. Thus, what might harass or embarrass one person may not harassstatutes contain the terms ""harass"" or ""embarrass."" See, e.g., TEX. FAM.CODE § 85.022 (protective orders); TEX. FAM.CODE § 156.005 (frivolous filing of suits for modifying",document,,,,,82.0,0.0,0.0
892852520,McEwen v. Harrison,"Freeman, Tex.Sup., 327 S.W.2d 428, in which we upheld orders on motions, in substantially the same form as the motion before us, to vacate void judgments. In McCauley, the default judgment was renderedprovided in Rule 329-b was not presented or decided. We hold that appeal by writ of error or a bill of review to set aside the judgment are the exclusive methods by which Texaco may have the default judgment",document,red,2020-04-24,224.0,"{'source': {'vid': '894112960', 'title': 'PNS Stores, Inc. v. Rivera'}, 'target': {'vid': 892852520, 'title': 'McEwen v. Harrison'}, 'treating_type': 'Overruled', 'treating_type_desc': 'Stated as Overruled in'}",224.0,0.0,2.0
892065911,"Mapco, Inc. v. Forrest","applications and record to the supreme court ""following direct orders and instructions from the JusticesW.2d 605, 608 (1935). 2 Relators also argue that the court of appeals' January 4, 1990argument is that the court of appeals' judgment was ""void"" because it was contrary to section 22.222(c) of the 1959), this court stated, ""Judgments are void for lack of power in courts to render them when",document,,,,,247.0,0.0,0.0
886887709,Ex Parte Westbrook,"this court's later judgment herein, and can now do so."" It is, of course, settled that this court upon application for habeas corpus is authorized to act only when it is shown that the orders of the court, including the order of commitment, are absolutely void, regardless of how erroneous the same may be. Ex parte Testard, 102 Tex. 287, 115 S. W. 1155, 20 Ann. Cas. 117; Lytle v. Railway Co., 41",document,,,,,1.0,0.0,0.0
892282011,Dikeman v. Snell,"attorney nevertheless Page 186 become a part of the court's judgment and therefore are judicial errors when thus rendered in writing by thea mistake, it was a judicial and not a clerical mistake. It is well settled that a trial judge has no power to enter a nunc pro tunc judgment purportingmandamus proceedings, held similar nunc pro tunc judgments and orders to be 'void' and granted conditional writs requiring",document,,,,,160.0,0.0,0.0
888427285,"Railroad Com'n of Texas v. Lone Star Gas Co., a Div. of Enserch Corp.","shall establish a unit and pool all of the interests in the unit within an area containing the approximate acreage of the proration unit...."" Section 102.017 provides that ""all orders effecting the pooling shall be made on terms and conditions that are fair and reasonable and will afford the owner or owners of each tract or interest in the unit the opportunity to produce or receive his fair share."" See also Railroad Comm'n v",document,,,,,94.0,0.0,0.0
